customer_id,loan_id,loan_type,loan_amount,interest_rate,loan_term,employment_type,income_level,credit_score,gender,marital_status,education_level,default_status,application_date_year,approval_date_year,disbursement_date_year,due_date_year,application_date_month,approval_date_month,disbursement_date_month,due_date_month,application_date_day,approval_date_day,disbursement_date_day,due_date_day
6,2677,Personal Loan,60735,0.090025107,49,Self-employed,Medium,787,Female,Divorced,High School,0,2020,2020,2020,2020,5,5,6,7,10,24,3,3
1887,448,Car Loan,63955,0.068987393,24,Part-time,High,681,Male,Divorced,Master,1,2018,2018,2018,2018,3,3,3,8,13,14,22,10
2900,1209,Education Loan,65925,0.081229933,53,Self-employed,Medium,708,Female,Single,PhD,1,2021,2022,2022,2022,12,1,1,5,31,12,15,14
3105,3145,Personal Loan,68969,0.086859206,30,Self-employed,Low,570,Male,Married,High School,1,2019,2019,2019,2019,4,5,5,8,27,16,25,1
178,1774,Home Loan,6311,0.101837335,51,Part-time,Low,706,Male,Married,High School,1,2018,2018,2018,2018,4,5,5,11,25,23,24,6
2424,733,Car Loan,84104,0.090567598,46,Full-time,High,493,Male,Divorced,PhD,0,2021,2021,2021,2021,5,6,6,8,14,2,15,10
1699,97,Education Loan,54707,0.09183585,35,Part-time,High,740,Male,Single,Bachelor,0,2021,2021,2021,2022,9,9,10,4,19,29,9,4
2841,23,Personal Loan,86305,0.081257399,35,Part-time,Low,612,Female,Single,Bachelor,0,2021,2021,2021,2021,8,8,9,10,22,31,1,16
1660,2095,Personal Loan,29693,0.101156887,28,Self-employed,High,378,Male,Single,PhD,0,2020,2020,2020,2020,6,6,7,10,29,30,11,15
2385,2413,Home Loan,72932,0.086146442,51,Full-time,Low,479,Male,Divorced,PhD,0,2019,2019,2019,2019,7,8,8,9,8,5,9,29
871,3013,Car Loan,94016,0.067083681,21,Full-time,Medium,313,Male,Single,High School,0,2022,2022,2022,2022,4,4,4,8,5,21,30,10
690,1173,Home Loan,26658,0.10105055,13,Part-time,Low,545,Female,Divorced,PhD,0,2022,2022,2022,2022,6,6,6,11,16,18,21,17
193,149,Education Loan,85478,0.090468549,55,Self-employed,High,313,Female,Single,PhD,1,2022,2022,2022,2022,5,6,6,12,23,21,26,8
2552,1372,Personal Loan,19431,0.07335434,34,Part-time,Medium,398,Female,Divorced,High School,0,2021,2021,2021,2021,3,3,3,8,4,7,15,26
1786,2974,Personal Loan,3747,0.072807605,17,Full-time,Low,332,Male,Divorced,PhD,1,2022,2022,2022,2022,5,6,6,10,21,16,22,5
3100,392,Home Loan,60150,0.084448633,13,Full-time,High,735,Male,Married,PhD,0,2021,2021,2021,2021,3,4,4,5,20,10,21,21
2634,973,Home Loan,66725,0.086947772,32,Self-employed,High,556,Female,Divorced,PhD,0,2019,2019,2019,2020,7,7,7,1,2,6,19,4
1354,1543,Home Loan,85654,0.082959384,46,Self-employed,Medium,333,Female,Single,High School,0,2018,2018,2018,2018,5,6,6,8,20,18,28,10
1484,2795,Car Loan,36773,0.08466963,40,Part-time,Low,318,Male,Married,PhD,1,2019,2019,2019,2019,2,2,2,8,11,12,15,10
2467,367,Personal Loan,68435,0.105499361,18,Self-employed,Low,559,Female,Single,Bachelor,0,2022,2022,2022,2022,10,10,11,12,25,28,3,21
1152,1414,Car Loan,57886,0.096073147,40,Part-time,High,715,Male,Divorced,PhD,0,2019,2019,2019,2019,5,5,5,8,5,16,17,31
2429,379,Education Loan,67803,0.082859534,48,Self-employed,Medium,436,Female,Married,Bachelor,1,2020,2020,2020,2020,6,6,6,11,15,20,24,8
2374,616,Car Loan,32551,0.094119659,34,Part-time,Low,658,Male,Divorced,PhD,1,2018,2018,2018,2018,7,8,8,12,24,20,31,12
1905,328,Home Loan,12394,0.064512141,44,Full-time,Medium,415,Male,Divorced,High School,0,2018,2018,2018,2019,10,11,11,4,22,10,20,9
547,516,Education Loan,70092,0.085968906,19,Full-time,High,703,Male,Single,Bachelor,0,2020,2020,2020,2020,5,6,6,11,10,5,13,14
1063,1573,Education Loan,4890,0.107139595,23,Full-time,Low,501,Female,Single,PhD,0,2019,2019,2019,2020,8,8,9,1,5,31,10,10
1257,894,Car Loan,42606,0.076729312,57,Full-time,High,675,Female,Single,PhD,0,2019,2019,2019,2020,11,12,12,6,2,1,14,3
804,294,Car Loan,97276,0.067285491,59,Full-time,Low,549,Male,Married,PhD,0,2020,2020,2020,2020,6,7,7,10,23,7,15,15
2774,401,Home Loan,81038,0.070218667,21,Full-time,High,745,Female,Single,PhD,0,2021,2021,2021,2021,4,4,5,6,22,28,1,22
1322,2140,Home Loan,88313,0.063655504,26,Self-employed,Low,577,Male,Divorced,High School,0,2018,2018,2018,2018,1,2,2,4,18,15,22,2
1867,72,Education Loan,11627,0.068228571,35,Self-employed,Medium,411,Female,Married,Master,0,2021,2021,2021,2022,11,11,11,5,7,12,16,6
2656,761,Home Loan,9792,0.074442379,37,Self-employed,Low,772,Female,Single,Bachelor,0,2022,2022,2022,2022,5,6,6,10,14,4,6,9
3023,2723,Personal Loan,74969,0.058916495,58,Part-time,Low,691,Male,Single,PhD,1,2020,2020,2020,2020,1,1,2,4,6,31,12,15
761,1006,Personal Loan,44001,0.080234275,53,Self-employed,High,442,Female,Single,High School,1,2019,2019,2019,2020,9,10,10,2,13,12,17,18
1452,2099,Education Loan,77552,0.093534158,50,Self-employed,Low,331,Female,Divorced,Master,0,2019,2019,2019,2019,10,10,10,12,5,18,21,28
1383,2918,Car Loan,24897,0.066383657,14,Part-time,Low,480,Male,Single,High School,0,2019,2019,2019,2019,6,7,7,11,26,13,25,11
3004,1691,Car Loan,69148,0.102789259,13,Part-time,Low,815,Male,Divorced,PhD,1,2022,2022,2022,2022,3,4,4,10,12,7,19,15
2056,3029,Personal Loan,24483,0.087661881,17,Full-time,High,568,Male,Married,Master,0,2021,2021,2021,2021,4,5,5,10,30,28,30,6
1431,3072,Car Loan,49555,0.095458709,32,Self-employed,Low,535,Male,Single,Bachelor,0,2018,2018,2018,2018,7,7,7,9,17,23,26,16
1005,1941,Home Loan,18159,0.070132482,20,Self-employed,Medium,576,Female,Divorced,Bachelor,0,2021,2021,2021,2021,6,7,7,9,19,13,25,17
891,1607,Personal Loan,81077,0.092817878,21,Part-time,Medium,574,Female,Single,High School,0,2018,2018,2018,2018,4,4,4,9,1,6,6,16
1116,2010,Education Loan,36920,0.063620991,47,Full-time,High,385,Male,Single,Bachelor,1,2020,2020,2020,2021,10,11,11,3,22,14,23,22
2754,1670,Car Loan,93067,0.093353713,14,Self-employed,Low,362,Female,Married,Bachelor,1,2020,2020,2020,2020,2,3,3,4,27,3,10,14
2179,1394,Education Loan,68121,0.08257759,52,Part-time,High,703,Male,Married,Master,0,2020,2020,2020,2020,9,9,9,11,3,8,16,3
1170,34,Education Loan,70479,0.088298768,35,Part-time,Low,491,Male,Divorced,Bachelor,1,2019,2019,2019,2019,9,9,9,11,1,20,25,12
1827,1478,Car Loan,90475,0.062366081,33,Self-employed,High,592,Male,Divorced,Master,0,2019,2019,2019,2019,4,5,5,9,10,1,5,21
250,1394,Car Loan,20457,0.066573952,25,Part-time,Low,330,Female,Divorced,Master,0,2021,2021,2021,2022,8,8,8,1,1,10,21,8
2069,2955,Personal Loan,67557,0.088958423,53,Part-time,Low,629,Female,Married,Master,0,2020,2020,2020,2020,2,2,2,6,16,19,27,30
448,2671,Personal Loan,78189,0.06577478,56,Self-employed,High,406,Female,Divorced,Bachelor,0,2020,2020,2020,2021,10,11,11,3,24,2,5,1
2235,1968,Education Loan,79953,0.086948094,55,Full-time,High,575,Male,Married,High School,0,2021,2021,2021,2022,6,7,7,1,15,6,19,4
2593,1035,Education Loan,53995,0.059492933,38,Self-employed,High,381,Male,Married,High School,0,2019,2019,2019,2019,7,7,7,8,6,6,6,17
910,2254,Personal Loan,41757,0.092722613,44,Full-time,Low,363,Female,Single,Bachelor,0,2022,2022,2022,2022,1,1,2,5,2,24,4,30
1515,2862,Education Loan,10692,0.06151215,33,Part-time,High,428,Female,Single,Master,0,2020,2020,2020,2020,6,7,7,11,27,10,22,4
1095,3036,Home Loan,46758,0.088284499,40,Self-employed,Low,555,Female,Divorced,Bachelor,0,2021,2021,2021,2022,11,12,12,3,14,1,11,27
1936,558,Car Loan,73409,0.089384464,30,Self-employed,Medium,530,Female,Married,PhD,0,2021,2021,2021,2021,9,10,10,12,14,5,11,2
1172,1932,Car Loan,72211,0.069548423,30,Full-time,Medium,796,Male,Married,High School,1,2022,2022,2022,2023,12,12,12,4,23,31,31,9
1764,1775,Home Loan,66697,0.088730399,17,Part-time,Low,436,Female,Married,Master,1,2018,2018,2018,2019,8,9,9,2,29,7,20,21
548,1380,Personal Loan,38065,0.083906634,56,Self-employed,Low,754,Female,Single,Bachelor,0,2022,2022,2022,2022,6,7,7,10,27,15,29,24
1869,2515,Personal Loan,93093,0.071917372,30,Self-employed,High,654,Male,Married,Master,0,2020,2020,2020,2020,3,3,4,9,19,22,2,16
2542,405,Education Loan,33606,0.06487168,24,Part-time,Low,784,Female,Divorced,PhD,0,2022,2022,2022,2022,2,3,3,7,27,19,27,2
754,1904,Education Loan,12534,0.050560615,37,Full-time,Low,445,Female,Divorced,Master,0,2020,2020,2020,2020,6,7,7,10,14,7,10,17
949,2451,Personal Loan,95663,0.085244751,33,Self-employed,Medium,332,Female,Single,PhD,0,2020,2020,2020,2021,10,10,10,2,4,16,27,15
2450,1303,Education Loan,41397,0.056527958,32,Part-time,High,559,Male,Divorced,High School,0,2020,2020,2020,2021,12,12,12,2,20,29,31,6
2083,108,Home Loan,92387,0.081430163,47,Self-employed,High,386,Male,Married,Master,0,2020,2021,2021,2021,12,1,1,5,21,2,5,28
1550,663,Car Loan,2016,0.076048277,13,Self-employed,Low,564,Female,Married,Bachelor,0,2022,2022,2022,2023,10,11,11,1,28,18,18,14
2167,1087,Home Loan,90789,0.090187142,58,Self-employed,High,841,Male,Divorced,Master,0,2020,2020,2020,2020,2,2,2,5,6,17,22,28
2158,1753,Car Loan,56591,0.075469318,55,Full-time,Medium,691,Female,Single,Master,0,2022,2022,2022,2023,11,12,12,5,24,17,23,15
147,2195,Car Loan,90812,0.075058283,41,Part-time,Medium,531,Female,Married,PhD,0,2022,2022,2022,2022,1,1,1,5,15,17,23,12
1128,1445,Education Loan,24247,0.090978061,38,Self-employed,Medium,746,Male,Married,PhD,0,2021,2021,2021,2022,7,8,8,2,24,11,15,5
2693,359,Education Loan,25300,0.08502587,18,Self-employed,Low,428,Female,Single,Bachelor,0,2021,2021,2021,2021,3,4,4,9,28,5,18,28
277,2769,Car Loan,75065,0.084742339,31,Self-employed,Low,570,Male,Married,High School,0,2021,2021,2021,2021,6,6,7,8,16,28,7,19
1168,1108,Education Loan,83798,0.087039014,42,Full-time,Medium,388,Male,Divorced,High School,1,2018,2018,2018,2018,2,3,3,8,12,5,16,6
1980,1343,Home Loan,10268,0.056966418,34,Self-employed,Medium,765,Male,Divorced,PhD,0,2020,2020,2020,2020,5,5,6,10,24,31,9,23
593,2785,Personal Loan,87807,0.09135183,24,Part-time,High,469,Female,Single,Bachelor,0,2019,2019,2019,2019,2,2,2,6,17,20,24,9
3046,1406,Education Loan,13185,0.089187032,28,Full-time,High,427,Female,Single,Master,0,2022,2022,2022,2022,1,1,1,5,2,22,27,19
2537,1621,Education Loan,64704,0.064749753,15,Part-time,High,473,Female,Divorced,Bachelor,0,2021,2021,2021,2022,8,9,10,1,30,26,5,27
2395,912,Education Loan,87779,0.076338793,25,Self-employed,High,325,Female,Single,Bachelor,0,2021,2021,2021,2021,3,3,4,6,21,29,9,6
2670,2573,Personal Loan,40099,0.079410391,31,Self-employed,Medium,810,Male,Divorced,Bachelor,0,2021,2021,2021,2021,1,1,1,4,8,14,21,9
1653,209,Home Loan,9571,0.077982548,24,Full-time,High,787,Female,Single,High School,0,2021,2021,2021,2021,3,4,4,5,6,4,12,13
2298,2620,Car Loan,39044,0.085007899,14,Self-employed,Medium,705,Female,Divorced,Master,0,2022,2022,2022,2023,10,11,11,3,15,4,17,15
849,1694,Home Loan,52214,0.101470502,37,Part-time,Medium,325,Male,Married,Bachelor,1,2022,2022,2022,2022,1,2,2,5,13,4,9,19
2887,2907,Education Loan,62228,0.096226501,37,Part-time,Low,382,Male,Married,High School,0,2021,2021,2021,2022,11,11,11,2,10,20,22,5
1138,560,Personal Loan,49984,0.060316712,29,Part-time,High,663,Female,Divorced,High School,0,2022,2022,2022,2022,8,9,9,12,28,21,26,27
1035,483,Home Loan,41774,0.08933105,43,Self-employed,Medium,666,Male,Married,PhD,1,2019,2019,2019,2019,1,2,3,7,18,16,2,28
2766,643,Education Loan,3568,0.099934,25,Self-employed,Low,359,Female,Divorced,Master,0,2018,2018,2018,2018,6,6,7,10,14,28,1,23
60,1046,Education Loan,63592,0.085802128,58,Full-time,Low,591,Female,Single,Bachelor,0,2019,2019,2019,2020,12,12,12,6,10,22,25,20
2390,2061,Car Loan,68563,0.096364706,14,Full-time,Medium,490,Male,Married,Master,0,2018,2018,2018,2019,10,10,11,1,29,31,10,5
573,666,Personal Loan,3695,0.110184057,12,Part-time,Medium,760,Male,Married,PhD,0,2020,2020,2020,2020,2,2,2,4,13,15,25,17
2093,568,Car Loan,49190,0.095355643,37,Part-time,High,532,Female,Married,PhD,0,2020,2020,2021,2021,12,12,1,5,7,26,1,10
2636,81,Home Loan,6258,0.083739629,35,Full-time,High,773,Female,Divorced,Bachelor,0,2021,2021,2021,2021,2,3,3,5,24,6,11,18
1676,707,Car Loan,88538,0.095676327,46,Full-time,Medium,704,Female,Married,High School,0,2019,2019,2019,2019,1,1,2,5,3,28,4,2
1756,1230,Home Loan,40504,0.082173317,25,Part-time,Medium,570,Female,Single,PhD,0,2019,2019,2019,2020,10,11,11,1,10,1,11,24
2595,1280,Education Loan,34159,0.080358546,14,Full-time,Low,433,Female,Married,High School,0,2020,2020,2020,2021,11,12,12,6,21,11,18,7
1340,2625,Personal Loan,14986,0.074728786,24,Self-employed,Low,470,Male,Single,PhD,0,2019,2019,2019,2019,5,5,5,11,22,26,28,23
2313,1804,Personal Loan,62858,0.1034512,58,Self-employed,Low,714,Female,Married,Master,0,2019,2019,2019,2019,9,9,10,11,5,24,4,19
1733,2030,Education Loan,13666,0.06772357,25,Full-time,Low,327,Male,Married,Bachelor,0,2018,2018,2018,2018,3,4,4,6,18,10,13,19
1744,2129,Personal Loan,39660,0.102985516,32,Full-time,Low,435,Male,Single,PhD,0,2019,2019,2019,2020,12,12,12,4,8,26,27,24
477,1848,Car Loan,4561,0.087497962,37,Self-employed,High,704,Male,Married,Master,0,2021,2021,2021,2021,5,5,5,7,9,20,20,19
1809,3069,Home Loan,27854,0.059010407,14,Self-employed,Low,804,Female,Single,PhD,0,2018,2018,2018,2018,3,3,4,8,9,26,1,6
2827,1644,Home Loan,65505,0.085514739,51,Part-time,Medium,540,Female,Single,Bachelor,0,2020,2020,2020,2021,11,11,11,2,17,20,27,22
1066,2684,Home Loan,53251,0.048499602,15,Full-time,High,743,Male,Single,Master,1,2020,2020,2020,2020,7,8,9,12,24,21,1,30
39,1371,Car Loan,23662,0.08938262,47,Self-employed,Low,733,Male,Married,High School,0,2019,2019,2019,2019,2,2,2,4,4,11,25,12
2109,2668,Home Loan,9392,0.093278472,54,Full-time,Low,527,Male,Married,PhD,0,2018,2018,2018,2018,2,3,3,8,26,11,18,14
1797,2248,Personal Loan,31535,0.071114661,12,Self-employed,Low,808,Male,Single,PhD,0,2021,2021,2021,2021,5,6,6,8,11,9,21,12
521,154,Home Loan,79603,0.081853215,51,Self-employed,Medium,602,Male,Married,Master,1,2019,2019,2019,2020,7,8,8,2,21,5,10,3
1921,735,Car Loan,53256,0.109312362,58,Full-time,Low,333,Female,Divorced,Bachelor,0,2021,2021,2021,2021,1,1,2,6,11,30,5,10
2968,3107,Personal Loan,90135,0.072413799,44,Part-time,Medium,301,Male,Single,PhD,1,2019,2019,2019,2019,9,9,9,10,10,17,24,27
643,1105,Education Loan,36222,0.064116386,18,Self-employed,Medium,661,Female,Single,Master,1,2021,2021,2021,2021,6,7,7,10,28,2,5,15
2564,1605,Personal Loan,78373,0.102224951,22,Full-time,Low,494,Male,Divorced,Bachelor,1,2018,2018,2018,2019,12,12,12,4,8,16,23,6
1112,272,Car Loan,80575,0.109438808,38,Self-employed,Low,607,Male,Divorced,PhD,0,2019,2019,2019,2019,2,2,3,5,27,28,5,22
634,1427,Personal Loan,97354,0.080055435,25,Full-time,High,549,Female,Single,Master,0,2019,2019,2019,2019,3,3,4,8,15,22,2,18
2473,1139,Home Loan,85651,0.095171946,33,Full-time,High,446,Female,Divorced,Bachelor,0,2019,2019,2019,2019,2,2,3,4,18,24,2,26
1985,504,Car Loan,64335,0.100122139,27,Self-employed,High,645,Male,Single,PhD,0,2020,2020,2020,2020,5,6,6,8,21,7,16,16
2112,2673,Education Loan,11965,0.068862737,57,Part-time,Medium,647,Female,Married,PhD,1,2018,2018,2018,2018,5,6,6,8,13,2,15,11
1305,796,Home Loan,25538,0.072720412,23,Self-employed,Low,553,Female,Divorced,Bachelor,0,2019,2019,2019,2019,3,3,4,6,5,26,1,20
248,1082,Car Loan,71592,0.098463118,57,Self-employed,High,698,Male,Single,Bachelor,1,2019,2019,2019,2020,12,12,12,2,5,13,20,24
1506,280,Car Loan,99018,0.105275214,21,Part-time,Medium,633,Male,Single,Master,0,2022,2022,2022,2022,4,4,5,8,17,27,7,1
187,1223,Education Loan,9110,0.088443213,35,Part-time,High,475,Male,Single,PhD,0,2022,2022,2022,2022,6,7,7,11,22,3,16,2
2957,390,Education Loan,80309,0.066802785,57,Full-time,High,424,Female,Divorced,PhD,0,2018,2018,2018,2019,9,10,10,1,25,2,16,25
1834,2709,Car Loan,28266,0.109805917,29,Full-time,Low,697,Male,Married,Master,1,2018,2018,2018,2018,4,5,5,6,17,9,13,14
2605,466,Education Loan,53992,0.072035437,33,Part-time,Low,430,Male,Married,PhD,1,2018,2018,2018,2018,3,4,4,9,7,2,3,19
2247,1016,Education Loan,83948,0.074972933,20,Part-time,Medium,706,Female,Divorced,PhD,0,2020,2020,2020,2021,10,10,10,3,3,19,26,15
1143,2615,Home Loan,99806,0.085135068,28,Self-employed,Low,633,Male,Single,PhD,0,2020,2021,2021,2021,12,1,1,5,11,5,5,5
2773,2318,Car Loan,7910,0.103312406,49,Part-time,High,319,Female,Single,High School,0,2019,2019,2020,2020,12,12,1,4,12,30,13,2
1819,43,Personal Loan,91982,0.09280964,51,Self-employed,Medium,504,Female,Single,Bachelor,0,2018,2018,2018,2019,10,10,10,4,15,15,27,13
138,1173,Home Loan,1206,0.086222983,24,Self-employed,Medium,654,Male,Divorced,High School,0,2018,2018,2018,2019,8,9,9,3,20,14,26,8
2953,547,Car Loan,88054,0.086949328,48,Self-employed,Medium,472,Female,Divorced,High School,0,2021,2021,2021,2021,4,4,4,10,1,22,23,9
2825,863,Car Loan,88897,0.08065272,17,Part-time,Medium,488,Female,Single,Bachelor,0,2021,2021,2021,2021,6,6,6,8,18,20,24,17
1331,2196,Home Loan,24419,0.088372093,32,Part-time,Low,301,Male,Single,High School,1,2019,2019,2019,2019,1,2,2,4,25,7,10,6
2376,2020,Education Loan,51636,0.042056599,47,Self-employed,High,467,Female,Single,Master,0,2020,2020,2020,2021,11,11,12,3,11,28,9,28
1805,1976,Personal Loan,51015,0.075550888,18,Part-time,Low,667,Male,Divorced,High School,0,2019,2020,2020,2020,12,1,2,4,30,27,6,11
509,1324,Personal Loan,55268,0.083619829,47,Full-time,Low,835,Male,Divorced,Master,0,2019,2019,2019,2020,11,12,12,2,18,13,14,2
604,2491,Car Loan,88939,0.062734789,36,Full-time,Medium,669,Male,Married,Bachelor,0,2020,2020,2020,2020,6,6,7,9,27,28,12,28
1053,239,Car Loan,19141,0.08579485,22,Self-employed,Low,736,Male,Single,PhD,0,2022,2022,2022,2023,12,12,12,4,20,27,30,22
2324,1462,Personal Loan,81356,0.076932932,55,Part-time,Low,506,Male,Single,Bachelor,0,2022,2022,2022,2022,2,3,3,8,25,13,19,13
791,1784,Car Loan,72910,0.106332135,25,Full-time,High,348,Female,Married,Bachelor,0,2022,2022,2022,2022,9,9,9,12,4,12,16,14
1951,1217,Personal Loan,57044,0.103595296,56,Self-employed,Medium,843,Female,Single,High School,0,2019,2019,2019,2019,6,6,6,11,5,16,30,12
2834,126,Education Loan,68214,0.073012916,40,Full-time,Low,428,Female,Married,Bachelor,0,2018,2019,2019,2019,12,1,1,6,28,3,15,16
843,470,Personal Loan,34827,0.077737434,21,Self-employed,Medium,746,Male,Divorced,Bachelor,1,2018,2018,2018,2018,2,2,3,4,28,28,3,20
179,1987,Personal Loan,56820,0.078890787,59,Self-employed,High,334,Male,Married,Master,0,2019,2019,2019,2019,4,5,5,11,30,20,21,5
936,957,Personal Loan,63623,0.073225108,16,Self-employed,Low,498,Male,Married,PhD,0,2022,2022,2022,2022,7,7,8,11,11,31,1,16
1332,2771,Car Loan,82734,0.082925375,19,Full-time,High,376,Male,Divorced,High School,0,2021,2021,2021,2021,1,2,2,6,29,11,11,20
1045,1533,Education Loan,76450,0.068625769,57,Self-employed,High,668,Female,Single,PhD,0,2022,2022,2022,2023,11,11,11,5,16,17,26,5
2978,1816,Home Loan,94426,0.06304077,16,Self-employed,Medium,825,Female,Married,PhD,0,2020,2020,2020,2020,3,3,4,9,8,24,6,10
2418,2495,Home Loan,23299,0.089340668,35,Full-time,Medium,648,Male,Married,PhD,0,2018,2018,2018,2019,12,12,12,5,6,12,17,2
270,3006,Personal Loan,44585,0.089442944,51,Self-employed,Medium,805,Male,Single,High School,1,2019,2019,2019,2019,5,5,5,11,1,15,20,5
906,427,Car Loan,65044,0.067935264,37,Full-time,Low,537,Male,Married,Bachelor,0,2019,2019,2019,2020,11,12,12,3,20,17,20,20
1427,2163,Home Loan,43557,0.093430331,17,Self-employed,Medium,579,Female,Divorced,PhD,0,2020,2020,2020,2021,11,11,11,2,5,13,21,3
514,1938,Home Loan,50080,0.070526334,27,Part-time,Low,731,Female,Married,High School,0,2022,2022,2022,2022,3,3,3,6,2,9,21,15
235,1075,Personal Loan,3693,0.083797479,47,Part-time,High,437,Male,Single,Bachelor,0,2018,2018,2018,2018,5,5,5,10,1,7,10,16
2918,2524,Personal Loan,96003,0.09230516,23,Full-time,Medium,568,Male,Single,PhD,0,2021,2021,2021,2021,5,5,5,10,22,25,27,4
280,1859,Car Loan,96259,0.079495812,22,Self-employed,High,500,Female,Married,Master,0,2022,2022,2022,2023,11,11,11,1,1,10,20,7
78,2406,Home Loan,70163,0.086821114,14,Full-time,Medium,441,Female,Single,High School,0,2018,2018,2018,2019,11,12,12,3,26,2,11,11
1400,1061,Personal Loan,26939,0.072253555,55,Self-employed,High,654,Male,Single,PhD,0,2018,2018,2018,2018,3,4,4,5,25,8,16,20
2582,1949,Education Loan,49925,0.077053001,48,Full-time,Low,628,Male,Married,High School,0,2021,2021,2021,2021,4,5,5,7,19,18,18,5
1865,2066,Education Loan,43941,0.076912109,17,Part-time,High,530,Male,Married,Master,0,2020,2020,2020,2020,1,2,2,4,15,13,25,25
51,2856,Education Loan,22834,0.068801325,30,Full-time,Low,607,Female,Single,High School,0,2019,2019,2019,2019,1,2,2,8,21,2,16,11
2895,35,Personal Loan,19047,0.077348388,29,Part-time,Medium,445,Male,Married,Bachelor,1,2018,2018,2018,2019,11,11,11,4,19,26,27,11
2311,438,Car Loan,27105,0.056770726,27,Part-time,Medium,451,Female,Divorced,PhD,1,2022,2022,2022,2022,4,5,5,8,27,5,5,23
2887,2571,Education Loan,76766,0.072632694,34,Part-time,Medium,439,Male,Married,High School,0,2019,2019,2019,2019,3,4,4,9,24,1,7,23
2337,162,Education Loan,16707,0.075726868,54,Full-time,Low,320,Male,Single,High School,0,2020,2020,2020,2020,6,6,7,11,22,26,7,3
10,2172,Education Loan,22976,0.076157304,48,Full-time,Medium,553,Male,Divorced,PhD,0,2018,2018,2018,2018,3,4,4,9,14,3,15,8
2448,529,Personal Loan,45262,0.076377538,20,Part-time,Low,363,Female,Single,Master,0,2018,2018,2018,2019,9,9,9,2,12,17,17,18
2262,1600,Personal Loan,24776,0.079073537,14,Full-time,Low,517,Male,Single,Master,0,2020,2020,2020,2020,5,6,6,9,9,7,17,26
180,1838,Personal Loan,31080,0.087191623,19,Self-employed,High,371,Female,Divorced,PhD,0,2020,2020,2020,2020,7,7,7,12,5,20,30,10
1960,726,Education Loan,67842,0.093117756,49,Part-time,Medium,461,Male,Married,PhD,0,2020,2020,2020,2020,10,11,11,12,19,3,3,27
993,2232,Personal Loan,62373,0.070253522,15,Self-employed,High,429,Female,Single,Bachelor,0,2020,2020,2020,2020,5,6,6,11,14,6,11,28
2848,298,Personal Loan,7776,0.061951987,23,Part-time,Low,524,Male,Married,High School,0,2022,2022,2022,2022,9,10,10,12,20,3,8,18
344,1271,Car Loan,93787,0.064369334,55,Self-employed,High,753,Female,Married,High School,0,2021,2021,2021,2022,8,8,9,2,6,24,3,22
1770,1020,Personal Loan,56016,0.072691956,42,Part-time,Medium,683,Male,Divorced,Master,1,2022,2022,2022,2022,3,3,4,5,4,22,2,24
